Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
NEE,"NextEra Energy, Inc. Common Stock",84.92,0.81,0.963,"168,749,937,328",https://www.nasdaq.com/market-activity/stocks/nee
DUK,Duke Energy Corporation (Holding Company) Common Stock,98.54,0.86,0.88,"75,881,985,553",https://www.nasdaq.com/market-activity/stocks/duk
SO,Southern Company (The) Common Stock,66.36,0.41,0.622,"72,244,328,866",https://www.nasdaq.com/market-activity/stocks/so
WM,"Waste Management, Inc. Common Stock",164.01,0.77,0.472,"67,322,348,515",https://www.nasdaq.com/market-activity/stocks/wm
EPD,Enterprise Products Partners L.P. Common Stock,24.77,-0.09,-0.362,"53,888,861,221",https://www.nasdaq.com/market-activity/stocks/epd
