Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
AAPL,Apple Inc. Common Stock,151.07,0.89,0.593,"2,619,151,953,800",https://www.nasdaq.com/market-activity/stocks/aapl
MSFT,Microsoft Corporation Common Stock,247.58,2.55,1.041,"1,845,578,460,992",https://www.nasdaq.com/market-activity/stocks/msft
GOOG,Alphabet Inc. Class C Capital Stock,98.82,1.49,1.531,"1,279,027,260,000",https://www.nasdaq.com/market-activity/stocks/goog
GOOGL,Alphabet Inc. Class A Common Stock,98.46,1.41,1.453,"1,274,367,780,000",https://www.nasdaq.com/market-activity/stocks/googl
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,81.97,-0.57,-0.691,"425,102,649,720",https://www.nasdaq.com/market-activity/stocks/tsm
