Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
JPM,JP Morgan Chase & Co. Common Stock,136.48,1.44,1.066,"400,323,803,114",https://www.nasdaq.com/market-activity/stocks/jpm
BAC,Bank of America Corporation Common Stock,37.61,0.12,0.32,"301,723,676,509",https://www.nasdaq.com/market-activity/stocks/bac
WFC,Wells Fargo & Company Common Stock,47.33,0.22,0.467,"180,350,534,202",https://www.nasdaq.com/market-activity/stocks/wfc
MS,Morgan Stanley Common Stock,89.93,0.26,0.29,"151,991,540,051",https://www.nasdaq.com/market-activity/stocks/ms
SCHW,Charles Schwab Corporation (The) Common Stock,81.41,0.15,0.185,"151,971,252,275",https://www.nasdaq.com/market-activity/stocks/schw
