Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
XOM,Exxon Mobil Corporation Common Stock,113.61,-0.57,-0.499,"467,879,315,560",https://www.nasdaq.com/market-activity/stocks/xom
CVX,Chevron Corporation Common Stock,184.24,-1.65,-0.888,"356,253,565,715",https://www.nasdaq.com/market-activity/stocks/cvx
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,56.83,0.01,0.018,"201,045,437,675",https://www.nasdaq.com/market-activity/stocks/shel
COP,ConocoPhillips Common Stock,126.74,-3.24,-2.493,"157,927,046,905",https://www.nasdaq.com/market-activity/stocks/cop
TTE,TotalEnergies SE,60.26,0.19,0.316,"151,295,572,430",https://www.nasdaq.com/market-activity/stocks/tte
