Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
PLD,"Prologis, Inc. Common Stock",115.53,-0.25,-0.216,"106,642,970,280",https://www.nasdaq.com/market-activity/stocks/pld
AMT,American Tower Corporation (REIT) Common Stock,218.25,0.12,0.055,"101,618,422,855",https://www.nasdaq.com/market-activity/stocks/amt
EQIX,"Equinix, Inc. Common Stock REIT",671.77,15.70,2.393,"62,164,329,514",https://www.nasdaq.com/market-activity/stocks/eqix
CCI,Crown Castle Inc. Common Stock,140.12,1.01,0.726,"60,678,685,900",https://www.nasdaq.com/market-activity/stocks/cci
PSA,Public Storage Common Stock,297.12,-2.23,-0.745,"52,185,677,843",https://www.nasdaq.com/market-activity/stocks/psa
