Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
CSCO,"Cisco Systems, Inc. Common Stock (DE)",48.57,0.19,0.393,"199,426,912,727",https://www.nasdaq.com/market-activity/stocks/csco
TMUS,"T-Mobile US, Inc. Common Stock",150.12,-1.48,-0.976,"186,772,418,596",https://www.nasdaq.com/market-activity/stocks/tmus
VZ,Verizon Communications Inc. Common Stock,38.92,-0.28,-0.714,"163,456,895,037",https://www.nasdaq.com/market-activity/stocks/vz
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",20.44,-0.04,-0.195,"64,901,522,370",https://www.nasdaq.com/market-activity/stocks/amx
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",20.22,0.05,0.248,"64,202,973,695",https://www.nasdaq.com/market-activity/stocks/amov
