Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
AMZN,"Amazon.com, Inc. Common Stock",94.13,0.93,0.998,"957,950,486,266",https://www.nasdaq.com/market-activity/stocks/amzn
TSLA,"Tesla, Inc. Common Stock",183.20,13.29,7.822,"578,500,248,657",https://www.nasdaq.com/market-activity/stocks/tsla
V,Visa Inc.,211.73,1.40,0.666,"448,430,387,078",https://www.nasdaq.com/market-activity/stocks/v
WMT,Walmart Inc. Common Stock,152.42,0.73,0.481,"413,704,146,358",https://www.nasdaq.com/market-activity/stocks/wmt
PG,Procter & Gamble Company (The) Common Stock,146.45,0.83,0.57,"347,042,105,440",https://www.nasdaq.com/market-activity/stocks/pg
