Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
UNH,UnitedHealth Group Incorporated Common Stock (DE),529.71,6.62,1.266,"494,934,047,459",https://www.nasdaq.com/market-activity/stocks/unh
JNJ,Johnson & Johnson Common Stock,177.01,0.19,0.107,"462,789,743,275",https://www.nasdaq.com/market-activity/stocks/jnj
LLY,Eli Lilly and Company Common Stock,361.72,0.84,0.233,"343,698,349,988",https://www.nasdaq.com/market-activity/stocks/lly
ABBV,AbbVie Inc. Common Stock,159.39,-0.40,-0.25,"281,878,108,170",https://www.nasdaq.com/market-activity/stocks/abbv
PFE,"Pfizer, Inc. Common Stock",48.85,-0.23,-0.469,"274,210,415,132",https://www.nasdaq.com/market-activity/stocks/pfe
