Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
KO,Coca-Cola Company (The) Common Stock,62.63,0.28,0.449,"270,844,265,724",https://www.nasdaq.com/market-activity/stocks/ko
PEP,"PepsiCo, Inc. Common Stock",185.08,0.24,0.13,"254,986,420,402",https://www.nasdaq.com/market-activity/stocks/pep
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),56.38,0.45,0.805,"113,844,992,281",https://www.nasdaq.com/market-activity/stocks/bud
DEO,Diageo plc Common Stock,183.01,2.83,1.571,"104,082,020,570",https://www.nasdaq.com/market-activity/stocks/deo
SONY,Sony Group Corporation American Depositary Shares ,82.20,0.96,1.182,"101,787,436,438",https://www.nasdaq.com/market-activity/stocks/sony
