Symbol,Name,Last Sale,Net Change,% Change,Market Cap,URL
MMM,3M Company Common Stock,128.00,-0.60,-0.467,"566,008,744,960",https://www.nasdaq.com/market-activity/stocks/mmm
TMO,Thermo Fisher Scientific Inc Common Stock,547.29,2.54,0.466,"214,644,706,391",https://www.nasdaq.com/market-activity/stocks/tmo
LIN,Linde plc Ordinary Share,342.86,3.10,0.912,"169,502,966,342",https://www.nasdaq.com/market-activity/stocks/lin
HON,Honeywell International Inc. Common Stock,218.91,0.15,0.069,"147,178,059,807",https://www.nasdaq.com/market-activity/stocks/hon
RTX,Raytheon Technologies Corporation Common Stock,97.13,0.28,0.289,"142,787,003,076",https://www.nasdaq.com/market-activity/stocks/rtx
